section,page_title,page_url,source_file,link_url,link_text,http_status,reason,wayback_url,wayback_timestamp,wayback_status
blog,236 Years Since the Boston Tea Party,/nhec-blog/23603,blog/236-years-since-the-boston-tea-party-23603.md,http://www.common-place.org/pasley/?p=1432,another entry,404,HTTP 404; redirected to different domain: commonplace.online,,,not_archived
blog,236 Years Since the Boston Tea Party,/nhec-blog/23603,blog/236-years-since-the-boston-tea-party-23603.md,http://dev.forum-network.org/lecture/samuel-adams-paul-revere-and-body-people,"Charles Bahne, writer, historian and tour guide tells the story of events before, during, and after the tea party using artifacts and historic sites to illustrate.

[Sam Adams, Paul Revere and ""The Body of the People""",404,HTTP 404,http://web.archive.org/web/20120813212234/http://dev.forum-network.org/lecture/samuel-adams-paul-revere-and-body-people,20120813212234,found
blog,236 Years Since the Boston Tea Party,/nhec-blog/23603,blog/236-years-since-the-boston-tea-party-23603.md,http://forum-network.org/lecture/tea-sea-moonlit-drama-boston-tea-party,Tea at Sea: Moonlit Drama of the Boston Tea Party,404,HTTP 404; redirected to different domain: gbh.org,http://web.archive.org/web/20100722061230/http://forum-network.org:80/lecture/tea-sea-moonlit-drama-boston-tea-party,20100722061230,found
blog,"A Day On, Not a Day Off",/nhec-blog/24456,blog/a-day-on-not-a-day-off-24456.md,http://www.serve.gov/index.asp,United We Serve,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20130602111613/http://www.serve.gov/index.asp,20130602111613,found
blog,"A Day On, Not a Day Off",/nhec-blog/24456,blog/a-day-on-not-a-day-off-24456.md,http://www.thekingcenter.org/making-king-holiday,the history of Martin Luther King Jr. Day,404,HTTP 404,http://web.archive.org/web/20181108073234/http://www.thekingcenter.org/making-king-holiday,20181108073234,found
blog,"A Day On, Not a Day Off",/nhec-blog/24456,blog/a-day-on-not-a-day-off-24456.md,http://mlk-kpp01.stanford.edu/,Martin Luther King Jr. Research and Education Institute,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20150604090138/http://mlk-kpp01.stanford.edu/,20150604090138,found
blog,"A Day On, Not a Day Off",/nhec-blog/24456,blog/a-day-on-not-a-day-off-24456.md,http://mlk-kpp01.stanford.edu/index.php/kingpapers/index,King Papers Project,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20150315034339/http://mlk-kpp01.stanford.edu/index.php/kingpapers/index,20150315034339,found
blog,"A Day On, Not a Day Off",/nhec-blog/24456,blog/a-day-on-not-a-day-off-24456.md,http://memory.loc.gov/ammem/today/jan15.html,Today in History entry for January 15,TIMEOUT,Timed out after 15s,http://web.archive.org/web/20160809125818/http://memory.loc.gov/ammem/today/jan15.html,20160809125818,found
blog,A History Institute for Teachers,/nhec-blog/19270,blog/a-history-institute-for-teachers-19270.md,http://www.fpri.org/education/americacivilwarera/,"America in the Civil War Era, 1829-77: A History Institute for Teachers",404,HTTP 404,http://web.archive.org/web/20130301152435/http://www.fpri.org:80/education/americacivilwarera,20130301152435,found
blog,A National Plan for Educational Technology,/nhec-blog/23672,blog/a-national-plan-for-educational-technology-23672.md,http://www.eschoolnews.com/freeesn/index-cfm/1/?i=62039,eSchool News,404,HTTP 404,,,not_archived
blog,A National Plan for Educational Technology,/nhec-blog/23672,blog/a-national-plan-for-educational-technology-23672.md,http://edtechfuture.org/,online,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20251007124037/https://edtechfuture.org/,20251007124037,found
blog,A National Plan for Educational Technology,/nhec-blog/23672,blog/a-national-plan-for-educational-technology-23672.md,http://www2.ed.gov/about/offices/list/os/technology/plan/2004/site/edlite-default.html,National Educational Technology Plan,404,HTTP 404; redirected to different domain: ed.gov,http://web.archive.org/web/20120720070818/http://www2.ed.gov:80/about/offices/list/os/technology/plan/2004/site/edlite-default.html,20120720070818,found
blog,A New Look at Abraham Lincoln,/nhec-blog/20291,blog/a-new-look-at-abraham-lincoln-20291.md,http://www.npg.si.edu/exhibit/lincoln/index.html,"*One Life: The Mask of Lincoln,*",CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20250528075700/https://npg.si.edu/exhibit/lincoln/index.html,20250528075700,found
blog,A New Look at Abraham Lincoln,/nhec-blog/20291,blog/a-new-look-at-abraham-lincoln-20291.md,http://www.npg.si.edu/,National Portrait Gallery,CONN_ERROR,Connection failed (site may be down),,,not_archived
