section,page_title,page_url,source_file,link_url,link_text,link_kind,doc_heading,in_bibliography,in_caption,http_status,final_url,redirect_kind,remote_title,broken_category,bucket,bulk_delete_candidate,confidence,suggested_action,wayback_url,wayback_status
best-practices,Prologue to Studying the Emancipation Proclamation,/best-practices/teaching-in-action/21706,best-practices/teaching-in-action/prologue-to-studying-the-emancipation-proclamation-21706.md,http://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/scholar-analysis/,Scholar Analysis,hyperlink,,False,False,403,https://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/scholar-analysis/,benign,,blocked-unknown,none,False,low,needs-subjective-review,,
best-practices,Prologue to Studying the Emancipation Proclamation,/best-practices/teaching-in-action/21706,best-practices/teaching-in-action/prologue-to-studying-the-emancipation-proclamation-21706.md,http://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/teacher-analysis/,Teacher Analysis,hyperlink,,False,False,403,https://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/teacher-analysis/,benign,,blocked-unknown,none,False,low,needs-subjective-review,,
best-practices,Prologue to Studying the Emancipation Proclamation,/best-practices/teaching-in-action/21706,best-practices/teaching-in-action/prologue-to-studying-the-emancipation-proclamation-21706.md,http://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/read-the-letters/,two letters,hyperlink,,False,False,403,https://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/read-the-letters/,benign,,blocked-unknown,none,False,low,needs-subjective-review,,
best-practices,Reading and Thinking Aloud to Understand,/best-practices/teaching-in-action/20795,best-practices/teaching-in-action/reading-and-thinking-aloud-to-understand-20795.md,http://web.archive.org/web/20130314081306/http://www.wested.org:80/cs/ra/print/docs/ra/home.htm,Reading Apprenticeship,hyperlink,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,Reading and Thinking Aloud to Understand,/best-practices/teaching-in-action/20795,best-practices/teaching-in-action/reading-and-thinking-aloud-to-understand-20795.md,http://web.archive.org/web/20210124023710/https://www.readingapprenticeship.org/video/honors-u-s-history/,video,hyperlink,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,Reading and Thinking Aloud to Understand,/best-practices/teaching-in-action/20795,best-practices/teaching-in-action/reading-and-thinking-aloud-to-understand-20795.md,http://www.pbs.org/childofcamp/history/index.html,Japanese American internment,hyperlink,Content,False,False,200,http://www.pbs.org/childofcamp/history/index.html,none,Children of the Camps | INTERNMENT HISTORY,live,none,False,high,ok,,
best-practices,Reading and Thinking Aloud to Understand,/best-practices/teaching-in-action/20795,best-practices/teaching-in-action/reading-and-thinking-aloud-to-understand-20795.md,http://www.law.cornell.edu/supct/html/historics/USSC_CR_0323_0214_ZO.html,*Korematsu vs. the United States*,hyperlink,Content,False,False,200,https://www.law.cornell.edu/supremecourt/text/323/214,benign,TOYOSABURO KOREMATSU v. UNITED STATES. | Supreme Court | US Law | LII / Legal Information Institute,live,none,False,high,ok,,
best-practices,Reading and Thinking Aloud to Understand,/best-practices/teaching-in-action/20795,best-practices/teaching-in-action/reading-and-thinking-aloud-to-understand-20795.md,https://readingapprenticeship.org/,https://readingapprenticeship.org/,bare_url,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,Teaching Historical Interpretation through Planning Documentary Films,/best-practices/teaching-in-action/20341,best-practices/teaching-in-action/teaching-historical-interpretation-through-planning-documentary-films-20341.md,http://web.archive.org/web/20260509204827/https://www.firstworldwar.com/battles/somme.htm,"Battle of the Somme,",hyperlink,World War I and the Battle of the Somme,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,Teaching Historical Interpretation through Planning Documentary Films,/best-practices/teaching-in-action/20341,best-practices/teaching-in-action/teaching-historical-interpretation-through-planning-documentary-films-20341.md,http://www.imdb.com/title/tt0006405/,documentary film,hyperlink,World War I and the Battle of the Somme,False,False,202,https://www.imdb.com/title/tt0006405/,benign,,live,none,False,high,ok,,
