section,subsection,page_title,page_url,source_file,total_links,live,dead_A,rebrand_probably_broken,rebrand_probably_fine,rebrand_needs_human,soft404_B,blocked_unknown,needs_human,bulk_delete_candidates,broken_with_wayback,broken_no_wayback,suggested_page_action
blog,,"John Brown, Harpers Ferry, Students, History and Technology",/nhec-blog/22339,blog/john-brown-harpers-ferry-students-history-and-technology-22339.md,4,3,0,1,0,0,0,0,0,0,0,1,fix-links-only
blog,,"John Hope Franklin, 1915-2009",/nhec-blog/21879,blog/john-hope-franklin-1915-2009-21879.md,15,9,5,0,0,0,0,1,0,2,1,4,fix-links-only
blog,,Join the Clearinghouse on Facebook and Twitter!,/nhec-blog/21849,blog/join-the-clearinghouse-on-facebook-and-twitter-21849.md,3,0,1,0,0,1,1,0,0,0,1,0,fix-links-only
blog,,Journal of the Association for History and Computing,/nhec-blog/19348,blog/journal-of-the-association-for-history-and-computing-19348.md,5,0,0,0,0,0,0,5,0,0,0,0,fix-links-only
blog,,Laura Bush Presents 2008 Preserve America History Teacher of the Year Award,/nhec-blog/20293,blog/laura-bush-presents-2008-preserve-america-history-teacher-of-the-year-award-20293.md,3,0,1,0,0,0,0,2,0,0,0,1,fix-links-only
blog,,Learn About Mexican American History,/nhec-blog/19592,blog/learn-about-mexican-american-history-19592.md,6,2,1,0,0,0,0,3,0,2,0,1,fix-links-only
blog,,"Left, Right, and Center: Teaching about Conservatism",/nhec-blog/23938,blog/left-right-and-center-teaching-about-conservatism-23938.md,16,9,2,0,0,2,0,3,0,5,0,2,fix-links-only
blog,,Lincoln Bicentennial,/nhec-blog/19950,blog/lincoln-bicentennial-19950.md,3,2,0,1,0,0,0,0,0,0,0,1,fix-links-only
blog,,Lincoln Bicentennial: A Teachable Moment (updated February 24),/nhec-blog/20737,blog/lincoln-bicentennial-a-teachable-moment-updated-february-24-20737.md,16,6,7,0,0,0,0,3,0,4,0,7,fix-links-only
blog,,Lincoln on the Big Screen,/nhec-blog/25767,blog/lincoln-on-the-big-screen-25767.md,5,3,1,0,0,0,0,1,0,0,1,0,fix-links-only
blog,,Maps: They're Not Just for Geography Any More,/nhec-blog/23617,blog/maps-theyre-not-just-for-geography-any-more-23617.md,9,7,0,0,1,0,0,1,0,1,0,0,fix-links-only
