section,page_title,page_url,source_file,link_url,link_text,http_status,final_url,remote_title,redirect_domain_changed,needs_review,reason
best-practices,The Civil War in Art: Teaching and Learning Through Chicago Collections,/best-practices/using-primary-sources/25742,best-practices/using-primary-sources/the-civil-war-in-art-teaching-and-learning-through-chicago-collections-25742.md,http://www.civilwarinart.org/lessonplans/CWIA_ICEAGE_Questions_to_consider.pdf,primary source analysis,403,https://smarthistory.org/seeing-america-2/civil-war-in-art/,,True,True,HTTP 403; redirected to different domain: smarthistory.org
best-practices,The Thomas Jefferson Building: Secret Messages,/best-practices/using-primary-sources/25774,best-practices/using-primary-sources/the-thomas-jefferson-building-secret-messages-25774.md,http://www.loc.gov/teachers/classroommaterials/presentationsandactivities/jefferson.html,*The Thomas Jefferson Building: Secret Messages*,404,https://www.loc.gov/teachers/classroommaterials/presentationsandactivities/jefferson.html,,False,True,HTTP 404
best-practices,Thinking Like a Historian,/best-practices/using-primary-sources/25226,best-practices/using-primary-sources/thinking-like-a-historian-25226.md,http://www.uww.edu/cls/history/for-teachers,video,404,https://www.uww.edu/cls/history/for-teachers,,False,True,HTTP 404
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://www.archives.state.al.us/BA/,Alabama,404,https://archives.alabama.gov/BA/,,True,True,HTTP 404; redirected to different domain: archives.alabama.gov
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://www.arkansascivilwar150.com/,Arkansas,404,https://www.arkansasheritage.com/educate/commemorative-programs/civil-war-sesquicentennial,,True,True,HTTP 404; redirected to different domain: arkansasheritage.com
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://finalsite.ccsu.edu/page.cfm?p=2296,Connecticut,404,http://finalsite.ccsu.edu/page.cfm?p=2296,,False,True,HTTP 404
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://gacivilwar.org/,Georgia,200,https://daget77vip.com/,DAGET77 Honor of Kings 2026: Meta Hero & Strategi Push Rank Pro,True,True,redirected to different domain: daget77vip.com
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://www.in.gov/history/INCivilWar.htm,Indiana,404,https://www.in.gov/history/INCivilWar.htm,,False,True,HTTP 404
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://www.iowahistory.org/museum/civil-war-150/index.html,Iowa,200,https://history.iowa.gov/,,True,True,redirected to different domain: history.iowa.gov
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://history.ky.gov/sub.php?pageid=132§ionid=5,Kentucky,403,https://history.ky.gov/sub.php?pageid=132%C2%A7ionid=5,,False,True,HTTP 403
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://mscivilwar150.com/,Mississippi,403,http://mscivilwar150.com/,,False,True,HTTP 403
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://mocivilwar150.com/,Missouri,CONN_ERROR,,,False,True,Connection failed (site may be down)
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://www.nccivilwar150.com/,North Carolina,CONN_ERROR,,,False,True,Connection failed (site may be down)
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://www.ohiocivilwar150.org/,Ohio,CONN_ERROR,,,False,True,Connection failed (site may be down)
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://www.pacivilwar150.com/,Pennsylvania,CONN_ERROR,,,False,True,Connection failed (site may be down)
